Student Code,State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /2.00,Q. 2 /2.00,Q. 3 /2.00,Q. 4 /2.00,Q. 5 /2.00
1,Finished,14 March 2022  6:55 AM,14 March 2022  7:03 AM,7 mins 25 secs,6.00,0.00,2.00,2.00,2.00,0.00
1,Finished,14 March 2022  7:11 AM,14 March 2022  7:12 AM,1 min 4 secs,10.00,2.00,2.00,2.00,2.00,2.00
0,In progress,14 March 2022  8:11 AM,-,-,-,-,-,-,-,-
5,Finished,14 March 2022  12:00 PM,14 March 2022  12:18 PM,17 mins 53 secs,6.00,2.00,2.00,2.00,0.00,0.00
5,Finished,14 March 2022  12:19 PM,14 March 2022  12:20 PM,56 secs,10.00,2.00,2.00,2.00,2.00,2.00
3,Finished,14 March 2022  3:14 PM,14 March 2022  3:18 PM,4 mins 26 secs,4.00,0.00,2.00,0.00,2.00,0.00
3,Finished,14 March 2022  5:23 PM,14 March 2022  5:23 PM,31 secs,10.00,2.00,2.00,2.00,2.00,2.00
2,Finished,14 March 2022  5:42 PM,14 March 2022  6:01 PM,19 mins 33 secs,4.00,0.00,2.00,2.00,0.00,0.00
2,Finished,14 March 2022  6:10 PM,14 March 2022  6:11 PM,53 secs,10.00,2.00,2.00,2.00,2.00,2.00
4,Finished,15 March 2022  4:00 PM,15 March 2022  4:03 PM,3 mins 35 secs,2.00,0.00,2.00,0.00,0.00,0.00
4,Finished,15 March 2022  4:04 PM,15 March 2022  4:05 PM,55 secs,8.00,2.00,2.00,2.00,0.00,2.00
6,Finished,18 March 2022  9:05 AM,18 March 2022  9:17 AM,12 mins 43 secs,4.00,0.00,2.00,0.00,2.00,0.00
6,Finished,18 March 2022  9:19 AM,18 March 2022  9:20 AM,1 min 15 secs,10.00,2.00,2.00,2.00,2.00,2.00
7,Finished,18 March 2022  12:15 PM,18 March 2022  12:15 PM,29 secs,2.00,0.00,0.00,0.00,-,2.00
7,Finished,18 March 2022  12:16 PM,18 March 2022  12:17 PM,29 secs,10.00,2.00,2.00,2.00,2.00,2.00
39,Finished,18 March 2022  1:02 PM,18 March 2022  1:05 PM,3 mins 31 secs,2.00,0.00,2.00,0.00,0.00,0.00
39,Finished,18 March 2022  1:06 PM,18 March 2022  1:07 PM,38 secs,10.00,2.00,2.00,2.00,2.00,2.00
8,Finished,18 March 2022  2:00 PM,18 March 2022  2:01 PM,1 min 40 secs,0.00,0.00,0.00,0.00,-,0.00
8,Finished,18 March 2022  2:02 PM,18 March 2022  2:03 PM,1 min 1 sec,10.00,2.00,2.00,2.00,2.00,2.00
59,Finished,18 March 2022  4:39 PM,19 March 2022  12:31 PM,19 hours 51 mins,0.00,0.00,0.00,0.00,0.00,0.00
9,Finished,18 March 2022  5:39 PM,18 March 2022  5:54 PM,14 mins 16 secs,4.00,0.00,2.00,2.00,0.00,0.00
10,Finished,18 March 2022  5:44 PM,18 March 2022  8:38 PM,2 hours 54 mins,0.00,0.00,0.00,0.00,0.00,0.00
9,Finished,18 March 2022  5:55 PM,18 March 2022  5:56 PM,1 min 17 secs,10.00,2.00,2.00,2.00,2.00,2.00
10,Finished,18 March 2022  8:39 PM,18 March 2022  8:40 PM,52 secs,10.00,2.00,2.00,2.00,2.00,2.00
13,Finished,18 March 2022  9:46 PM,18 March 2022  9:49 PM,3 mins 13 secs,4.00,0.00,2.00,2.00,0.00,0.00
13,Finished,18 March 2022  9:50 PM,18 March 2022  9:51 PM,58 secs,8.00,2.00,2.00,2.00,0.00,2.00
13,Finished,18 March 2022  9:52 PM,18 March 2022  9:52 PM,30 secs,10.00,2.00,2.00,2.00,2.00,2.00
11,Finished,18 March 2022  10:00 PM,18 March 2022  10:05 PM,4 mins 38 secs,0.00,0.00,0.00,0.00,-,0.00
11,Finished,18 March 2022  10:06 PM,18 March 2022  10:07 PM,1 min 42 secs,8.00,2.00,2.00,2.00,-,2.00
29,Finished,19 March 2022  3:54 AM,19 March 2022  4:03 AM,9 mins 4 secs,4.00,0.00,2.00,2.00,0.00,0.00
29,Finished,19 March 2022  4:04 AM,19 March 2022  4:05 AM,1 min 16 secs,8.00,2.00,2.00,2.00,0.00,2.00
12,Finished,19 March 2022  7:49 AM,19 March 2022  7:51 AM,1 min 46 secs,4.00,0.00,2.00,0.00,0.00,2.00
17,Finished,19 March 2022  9:40 AM,19 March 2022  10:04 AM,23 mins 52 secs,6.00,2.00,2.00,2.00,0.00,0.00
17,Finished,19 March 2022  10:10 AM,19 March 2022  10:11 AM,1 min 2 secs,6.00,2.00,2.00,2.00,0.00,0.00
14,Finished,19 March 2022  10:46 AM,19 March 2022  10:54 AM,7 mins 29 secs,4.00,0.00,2.00,2.00,0.00,0.00
14,Finished,19 March 2022  10:55 AM,19 March 2022  10:56 AM,1 min 1 sec,10.00,2.00,2.00,2.00,2.00,2.00
18,Finished,19 March 2022  11:28 AM,19 March 2022  11:31 AM,3 mins 42 secs,2.00,0.00,0.00,2.00,0.00,0.00
18,Finished,19 March 2022  11:32 AM,19 March 2022  11:33 AM,40 secs,8.00,2.00,2.00,2.00,0.00,2.00
20,Finished,19 March 2022  12:03 PM,19 March 2022  12:07 PM,3 mins 50 secs,2.00,0.00,2.00,0.00,0.00,0.00
20,Finished,19 March 2022  12:15 PM,19 March 2022  12:16 PM,1 min 1 sec,8.00,2.00,2.00,0.00,2.00,2.00
20,Finished,19 March 2022  12:19 PM,19 March 2022  12:20 PM,51 secs,10.00,2.00,2.00,2.00,2.00,2.00
15,Finished,19 March 2022  12:25 PM,19 March 2022  12:27 PM,2 mins 7 secs,4.00,2.00,0.00,2.00,-,0.00
15,Finished,19 March 2022  12:28 PM,19 March 2022  12:30 PM,1 min 12 secs,8.00,2.00,2.00,2.00,0.00,2.00
59,Finished,19 March 2022  12:39 PM,19 March 2022  12:41 PM,2 mins 3 secs,8.00,0.00,2.00,2.00,2.00,2.00
78,Finished,19 March 2022  12:39 PM,19 March 2022  12:51 PM,11 mins 52 secs,6.00,0.00,2.00,2.00,2.00,0.00
78,Finished,19 March 2022  12:51 PM,19 March 2022  12:53 PM,1 min 20 secs,10.00,2.00,2.00,2.00,2.00,2.00
19,Finished,19 March 2022  1:12 PM,19 March 2022  1:17 PM,4 mins 56 secs,6.00,0.00,2.00,2.00,2.00,0.00
19,Finished,19 March 2022  1:18 PM,19 March 2022  1:19 PM,1 min 17 secs,10.00,2.00,2.00,2.00,2.00,2.00
16,Finished,19 March 2022  1:41 PM,19 March 2022  1:42 PM,22 secs,2.00,0.00,2.00,0.00,0.00,0.00
16,Finished,19 March 2022  1:43 PM,19 March 2022  1:44 PM,46 secs,8.00,2.00,2.00,2.00,0.00,2.00
90,Finished,19 March 2022  2:31 PM,19 March 2022  2:35 PM,4 mins 29 secs,2.00,0.00,2.00,0.00,0.00,0.00
90,Finished,19 March 2022  2:37 PM,19 March 2022  2:38 PM,1 min 9 secs,10.00,2.00,2.00,2.00,2.00,2.00
21,Finished,19 March 2022  5:07 PM,19 March 2022  5:14 PM,7 mins 3 secs,4.00,0.00,2.00,0.00,2.00,0.00
21,Finished,19 March 2022  5:18 PM,19 March 2022  5:25 PM,7 mins 26 secs,10.00,2.00,2.00,2.00,2.00,2.00
23,Finished,19 March 2022  6:33 PM,19 March 2022  6:45 PM,12 mins,6.00,0.00,2.00,2.00,0.00,2.00
23,Finished,19 March 2022  6:56 PM,19 March 2022  6:57 PM,51 secs,10.00,2.00,2.00,2.00,2.00,2.00
22,Finished,19 March 2022  8:03 PM,19 March 2022  8:10 PM,7 mins 10 secs,4.00,0.00,2.00,2.00,0.00,0.00
22,Finished,19 March 2022  8:11 PM,19 March 2022  8:13 PM,2 mins,8.00,0.00,2.00,2.00,2.00,2.00
22,Finished,19 March 2022  8:13 PM,19 March 2022  8:15 PM,1 min 17 secs,10.00,2.00,2.00,2.00,2.00,2.00
233,Finished,20 March 2022  12:48 AM,20 March 2022  12:52 AM,3 mins 51 secs,2.00,0.00,2.00,0.00,0.00,0.00
233,Finished,20 March 2022  12:53 AM,20 March 2022  12:55 AM,1 min 42 secs,10.00,2.00,2.00,2.00,2.00,2.00
24,Finished,20 March 2022  4:57 PM,20 March 2022  5:02 PM,5 mins 34 secs,4.00,0.00,2.00,2.00,0.00,0.00
24,Finished,20 March 2022  5:03 PM,20 March 2022  5:04 PM,1 min 6 secs,8.00,2.00,2.00,2.00,0.00,2.00
38,Finished,20 March 2022  5:14 PM,20 March 2022  5:23 PM,8 mins 33 secs,2.00,0.00,0.00,2.00,-,0.00
27,Finished,20 March 2022  6:29 PM,20 March 2022  6:34 PM,4 mins 29 secs,0.00,0.00,0.00,0.00,0.00,0.00
31,Finished,20 March 2022  6:33 PM,20 March 2022  6:42 PM,8 mins 50 secs,2.00,0.00,0.00,2.00,0.00,0.00
31,Finished,20 March 2022  6:43 PM,20 March 2022  6:44 PM,1 min 10 secs,8.00,2.00,2.00,2.00,0.00,2.00
27,Finished,20 March 2022  7:44 PM,20 March 2022  7:45 PM,1 min 13 secs,10.00,2.00,2.00,2.00,2.00,2.00
25,Finished,20 March 2022  7:57 PM,20 March 2022  7:57 PM,27 secs,6.00,2.00,2.00,2.00,0.00,0.00
36,Finished,20 March 2022  10:50 PM,20 March 2022  10:53 PM,2 mins 47 secs,2.00,0.00,2.00,0.00,0.00,0.00
36,Finished,20 March 2022  10:54 PM,20 March 2022  10:55 PM,1 min 27 secs,8.00,0.00,2.00,2.00,2.00,2.00
26,Finished,20 March 2022  11:28 PM,21 March 2022  1:23 AM,1 hour 55 mins,2.00,0.00,2.00,0.00,0.00,0.00
26,Finished,21 March 2022  1:24 AM,21 March 2022  1:25 AM,38 secs,10.00,2.00,2.00,2.00,2.00,2.00
46,Finished,21 March 2022  9:00 AM,21 March 2022  9:12 AM,11 mins 26 secs,8.00,2.00,2.00,2.00,2.00,0.00
30,Finished,21 March 2022  7:40 PM,21 March 2022  7:46 PM,5 mins 32 secs,2.00,0.00,0.00,2.00,0.00,0.00
30,Finished,21 March 2022  7:47 PM,21 March 2022  7:48 PM,1 min 40 secs,10.00,2.00,2.00,2.00,2.00,2.00
28,Finished,21 March 2022  8:11 PM,21 March 2022  8:12 PM,54 secs,2.00,0.00,0.00,0.00,0.00,2.00
28,Finished,21 March 2022  8:13 PM,21 March 2022  8:15 PM,1 min 35 secs,8.00,2.00,2.00,2.00,0.00,2.00
32,Finished,21 March 2022  9:05 PM,21 March 2022  9:09 PM,4 mins 33 secs,0.00,0.00,0.00,0.00,0.00,0.00
32,Finished,21 March 2022  9:11 PM,21 March 2022  9:12 PM,1 min 7 secs,10.00,2.00,2.00,2.00,2.00,2.00
43,Finished,21 March 2022  11:58 PM,22 March 2022  12:03 AM,5 mins 4 secs,0.00,0.00,0.00,0.00,0.00,0.00
43,Finished,22 March 2022  12:36 AM,22 March 2022  12:37 AM,1 min 21 secs,10.00,2.00,2.00,2.00,2.00,2.00
57,Finished,22 March 2022  8:17 AM,22 March 2022  8:21 AM,3 mins 55 secs,2.00,0.00,0.00,2.00,0.00,0.00
57,Finished,22 March 2022  8:22 AM,22 March 2022  8:23 AM,1 min 24 secs,10.00,2.00,2.00,2.00,2.00,2.00
33,Finished,22 March 2022  1:57 PM,22 March 2022  2:00 PM,2 mins 20 secs,2.00,0.00,2.00,0.00,-,0.00
33,Finished,22 March 2022  2:00 PM,22 March 2022  2:02 PM,1 min 24 secs,8.00,2.00,2.00,2.00,0.00,2.00
38,Finished,22 March 2022  2:36 PM,22 March 2022  2:39 PM,3 mins 17 secs,2.00,2.00,0.00,0.00,0.00,0.00
38,Finished,22 March 2022  2:40 PM,22 March 2022  2:45 PM,4 mins 41 secs,8.00,2.00,2.00,2.00,0.00,2.00
76,Finished,22 March 2022  7:04 PM,22 March 2022  7:07 PM,3 mins 16 secs,2.00,0.00,2.00,0.00,0.00,0.00
76,Finished,22 March 2022  7:09 PM,22 March 2022  7:10 PM,57 secs,8.00,2.00,2.00,2.00,0.00,2.00
35,Finished,22 March 2022  8:37 PM,22 March 2022  8:40 PM,3 mins 12 secs,4.00,0.00,2.00,0.00,0.00,2.00
35,Finished,22 March 2022  8:41 PM,22 March 2022  8:41 PM,39 secs,10.00,2.00,2.00,2.00,2.00,2.00
34,Finished,22 March 2022  8:58 PM,22 March 2022  9:01 PM,3 mins 14 secs,4.00,2.00,0.00,0.00,0.00,2.00
34,Finished,22 March 2022  9:02 PM,22 March 2022  9:02 PM,40 secs,2.00,2.00,0.00,0.00,0.00,0.00
34,Finished,22 March 2022  9:03 PM,22 March 2022  9:03 PM,20 secs,10.00,2.00,2.00,2.00,2.00,2.00
37,Finished,22 March 2022  11:36 PM,22 March 2022  11:38 PM,2 mins 2 secs,0.00,0.00,0.00,0.00,0.00,0.00
37,Finished,22 March 2022  11:39 PM,22 March 2022  11:40 PM,59 secs,10.00,2.00,2.00,2.00,2.00,2.00
44,Finished,23 March 2022  9:35 AM,23 March 2022  9:39 AM,4 mins 12 secs,0.00,0.00,0.00,0.00,0.00,0.00
44,Finished,23 March 2022  9:40 AM,23 March 2022  9:42 AM,2 mins 31 secs,6.00,2.00,0.00,2.00,2.00,0.00
103,Finished,23 March 2022  9:51 AM,4 April 2022  10:10 AM,12 days,2.00,2.00,0.00,0.00,0.00,0.00
41,Finished,23 March 2022  12:15 PM,23 March 2022  12:24 PM,8 mins 55 secs,0.00,0.00,0.00,0.00,0.00,0.00
41,Finished,23 March 2022  12:34 PM,23 March 2022  12:35 PM,44 secs,10.00,2.00,2.00,2.00,2.00,2.00
42,Finished,23 March 2022  3:40 PM,23 March 2022  3:47 PM,7 mins 11 secs,4.00,0.00,2.00,2.00,0.00,0.00
42,Finished,23 March 2022  3:48 PM,23 March 2022  3:49 PM,50 secs,6.00,2.00,2.00,2.00,0.00,0.00
56,Finished,23 March 2022  4:10 PM,23 March 2022  4:15 PM,4 mins 36 secs,6.00,0.00,2.00,2.00,0.00,2.00
51,Finished,23 March 2022  6:58 PM,23 March 2022  7:03 PM,4 mins 32 secs,6.00,2.00,2.00,0.00,2.00,0.00
51,Finished,23 March 2022  7:03 PM,23 March 2022  7:04 PM,1 min 6 secs,8.00,2.00,2.00,2.00,2.00,0.00
51,Finished,23 March 2022  7:05 PM,23 March 2022  7:05 PM,39 secs,10.00,2.00,2.00,2.00,2.00,2.00
40,Finished,23 March 2022  7:53 PM,23 March 2022  8:00 PM,6 mins 52 secs,4.00,0.00,2.00,0.00,2.00,0.00
40,Finished,23 March 2022  8:01 PM,23 March 2022  8:02 PM,59 secs,10.00,2.00,2.00,2.00,2.00,2.00
58,Finished,23 March 2022  10:34 PM,23 March 2022  10:40 PM,5 mins 56 secs,2.00,0.00,0.00,0.00,-,2.00
58,Finished,23 March 2022  10:41 PM,23 March 2022  10:42 PM,1 min 14 secs,10.00,2.00,2.00,2.00,2.00,2.00
48,Finished,24 March 2022  8:05 PM,24 March 2022  8:13 PM,7 mins 40 secs,6.00,0.00,2.00,2.00,0.00,2.00
48,Finished,24 March 2022  8:13 PM,24 March 2022  8:16 PM,2 mins 16 secs,10.00,2.00,2.00,2.00,2.00,2.00
45,Finished,24 March 2022  8:14 PM,24 March 2022  8:15 PM,30 secs,0.00,0.00,0.00,-,-,-
45,Finished,24 March 2022  8:15 PM,24 March 2022  8:17 PM,1 min 54 secs,10.00,2.00,2.00,2.00,2.00,2.00
47,Finished,24 March 2022  11:25 PM,24 March 2022  11:26 PM,23 secs,4.00,0.00,2.00,0.00,-,2.00
47,Finished,24 March 2022  11:26 PM,24 March 2022  11:27 PM,29 secs,10.00,2.00,2.00,2.00,2.00,2.00
49,Finished,25 March 2022  6:43 AM,25 March 2022  6:47 AM,4 mins 19 secs,0.00,0.00,0.00,0.00,0.00,0.00
49,Finished,25 March 2022  6:48 AM,25 March 2022  6:49 AM,56 secs,10.00,2.00,2.00,2.00,2.00,2.00
50,Finished,25 March 2022  7:27 AM,25 March 2022  7:29 AM,1 min 43 secs,0.00,0.00,0.00,0.00,-,0.00
50,Finished,25 March 2022  7:30 AM,25 March 2022  7:31 AM,1 min 23 secs,10.00,2.00,2.00,2.00,2.00,2.00
69,Finished,25 March 2022  5:39 PM,25 March 2022  5:50 PM,11 mins 3 secs,6.00,2.00,2.00,0.00,2.00,0.00
52,Finished,25 March 2022  8:01 PM,26 March 2022  10:32 AM,14 hours 31 mins,0.00,0.00,0.00,0.00,-,0.00
101,Finished,25 March 2022  10:25 PM,25 March 2022  10:30 PM,5 mins 2 secs,4.00,0.00,2.00,2.00,0.00,0.00
101,Finished,25 March 2022  10:31 PM,25 March 2022  10:31 PM,44 secs,8.00,2.00,2.00,2.00,0.00,2.00
101,Finished,25 March 2022  10:32 PM,25 March 2022  10:32 PM,40 secs,10.00,2.00,2.00,2.00,2.00,2.00
